Utterance,Sentiment
磊磊等于跟你是有1/4血缘关系的,neutral
真等于亲兄弟,neutral
你听到没有,neutral
听到,neutral
妈,neutral
他要来北京参加高考啊,neutral
他有北京户口吗,neutral
你操这个心干什么,negative
该你操心的你不操心,negative
不该你操心的你瞎操心,negative
他怎么没有北京户口,negative
你大姨他当年嫁到福建的时候,negative
户口没调过去,negative
他随你大姨一直留在北京的户口就在咱们家,negative
你早跟我说不就完了吗,negative
你问我了吗,negative
李老师,neutral
坐吧,neutral
李老师高三学生蹲班的事情,neutral
我想再跟你沟通一下,neutral
我们校领导班组昨天专门开会,neutral
就这个问题也进行了上会讨论,neutral
最后一致认为不能开蹲班这个口子,neutral
这届学生都正常升入高三,neutral
校长我之前在动员会上已经强调过了,neutral
我提议让部分学生蹲班是基于这一届学生的实际情况而来的,neutral
这一届学生里边尾部的学生成绩离本科线差距确实是很大,neutral
所以我是担心,neutral
我知道你担心什么李老师,neutral
你担心升学率,neutral
本科率对不对,neutral
你也带了这么多年的高三教学成绩可以说是有目共睹,neutral
作为校长,neutral
我应该特别感谢你的付出和努力,neutral
但是我也希望你能明白一点,neutral
高考成绩确实重要,neutral
但高考本身它只是一个过程,neutral
我们教书育人,neutral
核心就是培养我们的学生,neutral
让他们成才,neutral
而不是一味的追求升学率的数字,neutral
校长您说的这些我都明白,negative
而且我觉得这两者之间并不冲突,negative
对于升学率这个问题,neutral
我觉得你对我有误会,neutral
我不是一味的追求升学率,neutral
这个事我只是希望能够对待每一个同学都能因材施教,neutral
制定一个最适合他们的教学方式,neutral
你与其让这些没有准备好的孩子去经历一次高考的失败,neutral
你莫不如给他们多一些时间让他们做准备,neutral
但是李老师你有没有考虑过蹲班留级这样的事情,neutral
对一个学生来说,neutral
可能会造成怎样的心理阴影,neutral
咱们换位思考,neutral
如果是你你真的愿意接受学校这样的安排吗,neutral
李老师作为年轻教师,neutral
你有拼劲,neutral
有闯劲,neutral
有拼搏的劲头,neutral
我们都很认可,neutral
但是如今高中生的培养,neutral
心理层面的教育跟学科层面的教育一样重要,neutral
这一点作为年级组长的你更应该清楚,neutral
更应该掌握好,neutral
我们做老师的还是要相信所有的教育都会有收获的那一天,neutral
行 校长,negative
我明白了,negative
我一会就去通知各个家长,neutral
然后重新沟通一下这个事情,neutral
我也会告诉各个班的班主任做好后续的跟进工作,neutral
好,neutral
李老师我是充分相信你和全体高三老师的能力,neutral
我相信这一届高三学生到毕业那天同样会非常出色,neutral
正等着你,neutral
那什么，处理完了，没事了吧,negative
都是你惯的,negative
没事你给他什么车,negative
没说给他就让他开一下,negative
我这不答应杨杨，他拿到驾照,negative
让他开一开车,negative
你这样会把他惯坏的知道吗,negative
要什么给什么,negative
姥姥姥爷也是的,negative
什么都由着,negative
是害了他知道吗,negative
是，这点我完全同意,negative
但是姥姥姥爷宠着,negative
那是因为你们常年不在怕委屈了孩子,negative
没事啊,positive
这问题马上解决了,positive
你们住在一块,neutral
慢慢严格要求,neutral
现在严格要求就怕来不及了,negative
他根本都不听我的,negative
就别说他爸爸了,negative
三句话不过就翻车了,negative
刘铮,negative
他是不是老跟你说,negative
不想跟我们在一块住,negative
孩子的话不能往心里头去,negative
杨杨是个聪明孩子,negative
要怪只能说你们之前陪伴的少,negative
人发发牢骚也是正常的,negative
是不是,negative
没事,neutral
等他住在一块慢慢就好了,neutral
你真能定吗,neutral
合适,neutral
你要能定的话,neutral
我就找人帮你打扫了,neutral
另外我姐夫不是喜欢中式家具吗,neutral
我得搞一套给搁里头,neutral
别,negative
你姐夫他就怕招摇,negative
你千万别给他弄那么贵的中式家具,negative
不用,negative
放心,neutral
我保证找一套实惠便宜保证不招摇的好吧,neutral
这事你甭管了,neutral
我来办,neutral
迷妹挺多,neutral
你怎么在这呢,neutral
你的车没事吧,neutral
没事,neutral
都过去,neutral
方一凡这人你也知道,neutral
并不坏,neutral
爱乍乎,neutral
成天招猫斗狗的,neutral
你就别跟他计较了,neutral
方一凡他是什么样的人,negative
跟我没关系,negative
别跟我提他,negative
回来了,negative
回来了,neutral
是不是都饿了,neutral
马上开饭,neutral
今儿没学生啊,neutral
今儿我太忙,neutral
又弄这种药膳,negative
不喜欢喝这种药味汤,negative
不是给你的放心,neutral
是给妈自己喝的,neutral
你怎么了,neutral
不舒服吗,neutral
最近睡的不好,negative
睡得不好 老是失眠,negative
可能是压力太大了,neutral
又怨压力大,negative
你说什么,neutral
没什么,negative
我学习去了,negative
先别学了,neutral
把饭吃了再说,neutral
你压力大,negative
我压力才大,negative
alexander懂不懂,negative
开门,positive
daddy,positive
你怎么来了,negative
你在家呢,negative
那个什么，不是,negative
宋倩,negative
你把门打开一下,negative
我给孩子拿着点东西,negative
咱们说好了一个月见一次的,negative
别坏了规矩好不好,negative
天天来打扰，你先回去把,negative
我跟孩子约好了孩子等着,negative
你把门打开,negative
他那做卷子,negative
我这也有学生都挺忙的,negative
别打扰了,negative
先回去,negative
怎么上来的,negative
你不让我上来,neutral
人家物业经理亲自把我送上来的,neutral
有本事让他送进门,negative
你一趟趟跑,negative
你到底要干嘛,negative
英子不是喜欢天文望远镜吗,neutral
今儿货到了,neutral
我给孩子把货送过来,neutral
高三哪有时间玩这个,negative
拿走,negative
这是孩子的兴趣爱好,negative
我这当爸爸的不得支持吗,negative
那么多年都没见你支持,negative
到了高三了支持什么,negative
不行,negative
我支持还分高几吗,negative
我就放下就走了,negative
不知道他现在很忙,negative
不耽误孩子事,negative
你就让我进去好不好,negative
不行,negative
我不耽误事,negative
英子,positive
爸 你咋来了 ,positive
爸给你买个望远镜,positive
你喜欢的那种,positive
你看看,positive
对对对,positive
这就是我想的型号,positive
谢谢,positive
要不您还是拿回去,negative
我最近忙着学习,negative
我妈肯定不让我玩,negative
最近怎么那么忙,negative
这不是快分班考了吗,negative
我妈整天盯着我做题,negative
不是 英子,negative
你跟爸说说你大学想考哪个学校,neutral
大学 这不还有一年吗,negative
爸,negative
你怎么突然这么关心我学习了,negative
这话让你说的,negative
你现在不是高三了吗,neutral
你妈天天，你看，这还带学生,neutral
我怕忙不过来,neutral
准备过来帮帮他,neutral
您不来帮他忙了,negative
手感不错吧,positive
这个可是我妈为了我的高三 给我装的隔音墙,neutral
据说这隔音量,neutral
能够达到45分贝,neutral
真的那也挺厉害的,positive
不过我觉得普通的墙也没什么太大的区别,neutral
就手感不错,positive
我骗你干嘛,negative
这就跟明星录唱片的地方,neutral
就录音棚一个效果,neutral
你里边说什么外面都听不到,neutral
真的,positive
我试试啊,positive
童文洁,positive
童文洁你过来呀,positive
你过来我有话对你说，我就在这等你,positive
不是，你不是说听不见吗,negative
那也没让你有吼的大哥,negative
把门关上,negative
你誓师大会要跟谁见,negative
你要跟谁见啊,negative
不孩子学校活动吗,negative
怎么了,neutral
我作为爸爸我还不能见孩子吗,neutral
这扯什么，我什么时候不让你见孩子了,negative
你跟我扯是吧,negative
好好我给你算,negative
咱以前是不是说好一个月见一次的,negative
你这个月是不是犯病了,negative
送铅笔盒一回,negative
送书包一次,negative
送充电宝一回,negative
送蓝牙耳机一回,negative
今天又来送什么,negative
放眼镜你自己说说看你这个月见她多少次了,negative
五六回,neutral
六回,negative
你还什么时候见过他,negative
6回,negative
这是我估的一个数,negative
大概,negative
我不跟你扯了,negative
你就说,negative
你誓师大会跟谁见,negative
你跟谁打招呼了,negative
跟方圆打招呼是吧,negative
他们是孩子家长是吧,negative
我那是打招呼吗,negative
我是约方圆通知他一下,negative
你应该跟谁打招呼,negative
我和英子说了，怎么着,negative
我作为家长我还不能去吗,negative
你现在成家长了,negative
这么些年你管过英子学习吗,negative
你管过吗,negative
还家长了,negative
在这个学校里我才是英子的家长,negative
知道吗,negative
我算知道了 宋倩,neutral
春风那是你的老单位,neutral
没坐上,negative
你是怕你那些老同事看见我了,negative
你尴尬是不是,negative
你胡说八道什么,negative
我明天这样,neutral
我离你远远的,neutral
我在操场边站着好吗,neutral
你还一个人站操场边上,negative
还不够显眼是吧,negative
还嫌不够丢人现眼是吧,negative
不是你，不让我，他，行，那行，行,negative
我离你既远又近若离,negative
让人觉得我们既是一个家庭,negative
同时又是一个不甚完美的家庭,negative
乔卫东,negative
你是不是这偷鸡摸狗的事干多了,negative
干嘛总是这么鬼鬼祟祟,negative
偷偷摸摸的习性,negative
我为什么偷偷摸摸你不知道吗,negative
我知道,negative
那不是因为我怕你吗,negative
当然了,negative
现在也不是怕,negative
我是尊重你,negative
你现在的生活我们从来都不打扰,negative
那是你的生活对吧,negative
也请你不要再来打扰我们母女俩了,negative
行吗,negative
宋倩我不是想打扰你,negative
我承认这一个月我来的次数比较多,negative
但是原因很简单,negative
我觉得英子现在是努力有余,negative
放松不够,negative
孩子经常说压力大,negative
又不敢跟你讲,negative
你怎么知道的,negative
血缘、血缘的感应,negative
我作为孩子的父亲,negative
我能不能让孩子放松一下,negative
你是好心,negative
我知道你做事总是想尽善尽美,negative
但是在孩子的教育上要张弛有度,negative
不能把孩子逼得太紧,negative
否则适得其反,negative
英子,positive
你爸给你那望远镜太帅了,positive
你要给我留住,positive
到时候借我玩两天,positive
你是不了解我妈,negative
他就是个狠人,negative
贼专制,negative
不带这么说你妈的啊,negative
你妈多好,negative
天天笑呵呵的又温柔又慈祥,negative
跟我妈似的凶神恶煞,negative
他不跟你讲道理,negative
刚才超市差点一巴掌呼死,negative
你别急,negative
这不是你们都还在吗,negative
等你们一走,negative
我那宝贝望远镜就要被没收了,negative
我要是管他要的话,negative
他就说高考一完物归原主,negative
我说你妈这样,negative
我现在挺心疼我爸的,negative
你说他这三天两头的给我送的东西,negative
每次哪一回不是被我妈给怼过去了,negative
夹着尾巴就逃走了,negative
原来天下的妈妈都一个样,positive
同为天下沦落人,negative
方圆你别弄了你过来,negative
这俩人绝对复合了,positive
多长时间了,positive
要不就打起来了,positive
你想你今儿怎么了,neutral
情绪不高,neutral
丧眉耷眼的，饭也不吃，急赤白脸地到别人家里，出什么事了，说,neutral
我这憋了一天了,negative
怎么了,neutral
方一凡一直跟着我,negative
我也甩不掉,negative
没法跟你说,negative
真把你打坏了,negative
打坏了那些都不叫事儿,negative
别人女孩谈恋爱被人父母给抓着了,positive
好好好，不开玩笑了，你说,neutral
我跟你说正经的,negative
你说怎么了,neutral
他们高三年级组的组长,negative
新上来的李老师,negative
也是他的班主任,negative
今天跟我说,negative
说怎么了,neutral
让我们考虑让方一凡高二蹲班,negative
蹲班,negative
我洗完了,neutral
你洗去吧,neutral
儿子呢,neutral
洗澡去了,neutral
方圆,negative
这蹲班的事到底怎么说呢,negative
蹲班的确实还是挺丢脸的事,neutral
我路上其实都已经琢磨明白了,neutral
这蹲班搁以前都是什么,neutral
学习不好的二傻子二愣子对吧,neutral
一说班里来了个留级的学生肯定是个坏孩子,neutral
但这次肯定不一样,neutral
现在蹲班生可能学校有他的考虑,neutral
这可能跟升学率是挂着钩的,neutral
这都要蹲班了,negative
还升什么学哪来的升学率,negative
你看如果是参加高考的话,neutral
你就是一个稳定的分母,neutral
对不对,neutral
这总数是不变的,neutral
考上了你就是一分升学率就上去了,neutral
如果你没考上,neutral
你就成为一个坏分子,neutral
你还不如就蹲班,neutral
这还没正式开学,negative
学校怎么知道这方一凡就当不了这个分子呢,negative
大数据，它根据你高一高二历次考试这些东西,negative
它判断一下你到底是一个什么级别的,negative
如果你是一个好分子肯定让你考,negative
但如果你是个坏分子的话,negative
分母都不让你当直接让你蹲班,negative
这奇怪了,negative
怎么方一凡这一眨眼之间就成了一个坏分子了呢,negative
他现在没有成为坏分子,negative
他是介于好分子跟坏分子之间,negative
这就是学校担心的地方,negative
所以跟咱商量是不是要蹲一年的班,negative
蹲一年班给你一年时间,negative
争取你成为好分子,negative
直接去参加高考,negative
就这道理,negative
我不想让方一凡当坏分子,negative
你先不要悲观,neutral
学校现在还是对方一凡是有信心的,neutral
要不然不会跟他商量这事,neutral
还有一个确实是他可能学习成绩不行,neutral
但是这孩子聪明,neutral
他积累反应快,neutral
学习哪天他反应一快的成绩就上去了,neutral
我知道了是方一凡跟你一样的,negative
都是盲目乐观型的,negative
你要说这个乐观真没什么好乐观的,negative
唯一乐观的就是这磊儿来了说不定能带带方一凡，是吧,negative
那也不一定也可能方一凡,negative
把磊儿给拉沟里去了,negative
你刚批评我不要觉得太悲观,negative
你乐观，现在怎么突然你悲观,negative
我乐观起来呢,negative
反正这事总体来讲不乐观,negative
妈，我洗发水用完了,neutral
你帮我拿一下,neutral
我今天不是刚买了吗,neutral
你自己去拿一下,neutral
我是光着的,neutral
我怎么拿,neutral
我给你拿,neutral
行行行，我给他拿去,neutral
你说就这样的,negative
我能乐观的了,negative
我说呢,neutral
大家晚上非得让我下来接你一趟,neutral
原来是有人送你回来,neutral
大晚上都不回家住宾馆,negative
还说为了孩子上个学近，谁信,negative
这官当的,negative
杨杨呢，睡了吗,neutral
好久没见他了,neutral
对,neutral
你微信上说他又闯祸了,negative
怎么回事,negative
没事,neutral
就小孩子打打闹闹的,neutral
老师都已经解决了,neutral
你还是要提醒他,negative
以后少惹事,negative
没超标吧,negative
超不超标的是咱自己花钱什么好担心的,negative
英语还不错,negative
这物理怎么考这么差,negative
究竟什么原因呢,negative
纪局长你能不能不在家里打官腔,neutral
我在跟你讲问题,negative
怎么成打官腔了,negative
你好好看看,neutral
这是高二的期末考试卷子,neutral
两个月以前的了,neutral
给我看看,negative
现在才想起来关心,neutral
真没看清楚,negative
两个多月过去了,negative
他的成绩有没有在提高,negative
现在还没考试,neutral
还看不出什么,neutral
有的时候我真的挺想关心杨杨的,negative
可一是我工作忙,negative
二是怎么关心他，我,negative
我真的不知道怎么入手,negative
你真的想关心,neutral
真的,negative
要不然这样然后他们班上有一个微信家长群,neutral
有什么事什么话老师都在里边说,neutral
要不然我把你加进去,neutral
等等,negative
这个群里有多少人,negative
五六十人,neutral
那么多,negative
孩子就那么多,neutral
别加了,negative
你在群里就行了,neutral
万一杨杨同学的家长要加我,negative
我不大方便,negative
我就不加了,negative
早就知道是这样,negative
明天杨杨誓师大会你假请好了吗,neutral
一早就请好了,neutral
你放心,neutral
这事我能忘了,neutral
那你早点睡,neutral
不是 你这衣服都换好了,negative
怎么还耸眉耷眼的,negative
别叹气,positive
你那车 前轮原来的角度给你调过了,neutral
换油器进气跟喷油的比例给你调了,neutral
后轮距加宽,neutral
加宽了一厘米,neutral
试试去,positive
谢谢舅舅,positive
注意安全,neutral
知道了,positive
今天见到小时候的一个朋友,positive
也不是小时候，中学的时候,positive
当时我们两个家住同一个院子,positive
我看到了,neutral
你们不是发小吗,neutral
发小不是从小一块混的吗,neutral
我们是那种小时候在一块玩的好朋友,neutral
后来长大了就没联系了,negative
为什么不联系,neutral
为什么不联系,negative
反正小的时候我学习成绩比较好,negative
他学习成绩一般,negative
考大学的时候我考上了,neutral
他没考上复读一年,neutral
我明白了，那个谁是那个谁的老婆,positive
他是她老公，他们是一家的,positive
我说呢,positive
没听明白你什么意思,negative
你笨死了 就是那个季 你这个季,positive
是那个季杨杨的爸爸,positive
他们不是都姓季嘛,positive
我明白了,neutral
你是说他,neutral
然后我认识的那个女的是他们的一家的,positive
我明白明白,neutral
你知道吧,positive
知道了，自从你跟你结婚第二年开始,neutral
第二年开始我就已经习惯听不清楚你说的什么,neutral
跟方一凡打架,neutral
那个季杨杨是我的同学季胜利的儿子,neutral
你认识那女的是跟季胜利是夫妻俩,neutral
对,neutral
他们是一家的,positive
听懂了,positive
懂了不容易,neutral
方圆不是我说你，每次到关键时候你就掉链子了,negative
你说你好不容易遇到一个像样的朋友,negative
你主动点,negative
妈妈给你说点事,neutral
怎么了 妈 我看你好像情绪不高,positive
是不是谁刺激你了,positive
怎么了,negative
没事吧,negative
妈妈不跟你吵,neutral
也不跟你闹,neutral
妈妈就问你到底怎么回事,negative
一年不到的时间成绩下滑成这样,negative
怎么就突然不想学了,negative
对学习不感兴趣,negative
还是老师讲的不好,negative
还是有其他的原因,negative
总得有个原因,negative
不是 我没有不想学,neutral
也不是老师的问题,neutral
也没有什么原因,negative
就是 我知道了,negative
不是我下滑太快,negative
是那帮人进步的太快了,negative
你告诉妈妈你这样的状态你怎么参加高考,negative
别说高考了,negative
你知道你这成绩你连高中毕业你都毕业不了,negative
你知道吗,negative
妈妈为你这个事情今天跑了一天,negative
本来开学之前你们老师找我谈话,negative
让你蹲班,negative
凡凡你知道妈妈今天为你的事情跑了一天,negative
本来开学之前你们老师找我谈话,negative
让你蹲班,negative
我一开始不同意,negative
后来我同意了,negative
我连你的这些补习班我都给你找好了,negative
不是妈你怎么不跟我商量,negative
你怎么这么大事你自己做决定,negative
我真的 补习班我不愿意上了,negative
不要激动,neutral
你现在不上补习班,neutral
今天你们李老师又跟我说不蹲班了,neutral
跟其他同学一样正常参加高考,neutral
但是凡凡你知道不蹲班意味着什么吗,negative
意味着你得把之前落下的成绩全补上,negative
你不光得补上,negative
你还得比别人学的还要好,negative
你才有可能能考上好的大学,negative
可是以你现在这种吊儿郎当的态度,negative
你行吗,negative
实在不行的话咱们还是蹲班,negative
我不蹲班,negative
我为什么要蹲班啊,negative
我本来就比别人大,negative
我还晚上学,negative
我再一蹲班我不成我现在同学的学弟了吗,negative
多丢脸,negative
而且我也不想这给你和我爸丢脸,negative
你真这么想,negative
我真这么想,negative
绝不蹲班,negative
那你得拿出态度来,negative
你也得拿出实际行动来,negative
手机是不能再玩了,negative
游戏不能再玩了,negative
电影也不能再看了,negative
你要不想让人瞧不起你,negative
是不是得把所有的精力都放在学习上,negative
好了妈你也别太着急,negative
也别紧张,negative
咱说认真的,negative
要到时候真的不行了,negative
咱就复读一年,negative
你再读一年这何必 凡凡你自己算算这个账,negative
你现在能努力，拼一下，就拼9个月,negative
你需要把9个月的煎熬变成18个月吗,negative
高考是你人生最关键的一场战役,negative
这场战役打赢了你一生受益 打不赢,negative
你终生遗憾,negative
哪有那么邪乎,negative
我的人生刚开始怎么就终生遗憾了呢,negative
凡凡妈妈跟你说实话,negative
我们是一个很普通的家庭,negative
爸爸妈妈没有任何背景,negative
我们也没有任何关系,negative
我们就指望你通过高考鲤鱼跃龙门了,negative
龙门你要跃过去,negative
你会改变你一生,negative
爸爸妈妈能做什么,negative
我们做的这些是为什么,negative
我们不是为我们自己,negative
我们就是为了你给你提供一个好的条件,negative
让你跨过门槛,negative
将来你有一个好的学历,negative
你终生受益,negative
妈我有个问题,negative
您觉得学历重要还是真本事重要,negative
真本事重要,negative
但是你先拿你的真本事给妈妈对付的学历,negative
你只要考上大学,negative
妈妈保证你做什么妈妈绝对不干涉,negative
只要不是违法乱纪的事情,negative
但是之前你先考上了大学,negative
你给妈妈吃个定心丸 算妈妈求你了好不好,negative
妈你也别担心了,negative
我努力,neutral
让我在这锻炼身体,neutral
自己在那躺着发呆,neutral
起来 一块练会,neutral
烦死了,negative
烦什么,neutral
蹲班的事,negative
怎么了,negative
不又不蹲了吗,negative
一会儿蹲一会儿不蹲的,negative
这鱼还没喂呢 对,neutral
对,neutral
鱼还没喂呢,neutral
李萌给我发个信息,neutral
一凡妈妈 看到您今天很焦急,neutral
我也很愧疚,neutral
放心,neutral
我们一起努力让一凡追赶上来,neutral
还给我发一个学霸的共同点,neutral
你听听,neutral
一家庭充满爱的滋养,neutral
这咱有 ,neutral
二,neutral
热衷的不是学习,neutral
而是思考,neutral
也有,neutral
三爱学习更爱生活,neutral
这个有一半,neutral
10相信比成绩重要的东西还有很多,neutral
这个 他太相信了,neutral
你说方一凡基本都有,negative
为什么成绩还这么差,negative
他怎么就不能成为一个学霸呢,negative
人家都行,negative
他就不行,negative
拿来我瞅瞅,neutral
我瞅瞅,neutral
一天到晚不给我省心,negative
烦得我我一脑门子官司,negative
干嘛还烦你一脑门子官司,negative
不是 她太善变了,negative
一会说蹲一会说不蹲,negative
昨天说蹲今天说不蹲,negative
我是担心他们学校想把方一凡这样的孩子给放弃了,negative
我觉得也不太可能,neutral
老师刚才给你发这个就说明你没放弃方一凡,neutral
知道吧,neutral
我问你,neutral
昨天为什么事担心,neutral
因为要方一凡蹲班,negative
你今天为什么事担心,neutral
因为不让他蹲班,negative
看见没有,neutral
让他蹲班你担心,neutral
不让他蹲班你也担心,neutral
你看你都担心,neutral
这不是担心即菩提吗,neutral
屁话 我能不担心吗,negative
他成绩不好,negative
他成绩好烦个屁,negative
好,neutral
你看我怎么理解,neutral
比如说让方一凡蹲班,neutral
我认为给咱一机会多一年,neutral
让咱上4年高中 方一凡的机会就比别人高了,neutral
比别人机会要大,neutral
好,neutral
不让他蹲班 不让蹲班说明什么,neutral
说明学校没放弃他,neutral
李萌老师还重视他,neutral
让他跟同学一块比翼齐飞,neutral
这不都是好事吗,neutral
你这么想是不是觉得心情好多了,neutral
你有没有觉得气顺一点,neutral
我觉得你好幼稚,positive
顺点没,positive
是吧 你看,positive
完了 起晚了,negative
飞机要赶不上了,negative
赶得上 怎么会赶不上 几点了,neutral
都赖你 晚上喝什么红酒,negative
快快,negative
媳妇,neutral
昨天晚上高兴的时候一块高兴 怎么现在就都赖我呢,positive
直播呢,positive
没有,positive
我录的视频,positive
可以啊,positive
你也要上镜,positive
我不上,positive
这一头汗 ,positive
要不喝口水,positive
给你倒杯水,positive
没事,positive
我妈走了,positive
今天咱们什么计划,positive
这样爸爸还真想了一下,positive
咱们今天是这样,positive
妈妈到接你表弟回来,positive
咱们一共有将近8个小时,positive
7个半小时的时间是自由的,positive
8个小时,positive
那可不,positive
然后咱们这样先吃早饭,positive
我想咱们弄个,positive
铰子,positive
行三全的,positive
抱蛋煎饺,positive
然后咱俩就出去溜达溜达,positive
逛一逛,positive
楼下我陪你打会儿篮球,positive
这个好,positive
之后咱俩就出去吃个午餐,positive
大汉堡,positive
披萨饼和薯条,positive
你随便选好吧,positive
妈妈不让吃,positive
咱全给吃去,positive
回来你就得安心学习了,positive
不能再玩了,positive
我说,positive
对对对 得学了,positive
你看啊 方一凡,positive
你要玩爸爸支持你,positive
但爸爸要你学习,positive
你也得听爸爸的,positive
这点让爸爸跟妈妈完全是一致的,positive
你看你现在不蹲班了,positive
你得加油必须考上大学,positive
杨杨,positive
你怎么跑过来了,positive
听姥姥说,neutral
今天你搬家,neutral
我就过来了,neutral
这么大事你怎么也没告诉我,negative
连舅舅也不知道,negative
搬家多大的事,neutral
还兴师动众的,neutral
吃饭了,neutral
我刚想叫你 看你正专心做题,neutral
您今天没放中药啊,negative
怎么样,neutral
没放中药的好喝,positive
挺挑的,negative
刚才你们李老师,neutral
在群里发了好多誓师大会的照片,neutral
有我们家的吗,positive
有 我给,neutral
你找找,neutral
没我爸,negative
没有吧 我看,neutral
没拍上,neutral
他那天不是一直跟咱在一块的,negative
看着不像一家人呗 那拍照片的,negative
哪知道谁是谁一家,negative
我给你端菜去啊,negative
好的,negative
站那干嘛,neutral
怎么了,neutral
妈,neutral
 您辛苦了,neutral
你说什么,positive
我说您辛苦了,neutral
洗个碗有什么辛苦的,positive
不每天都在洗嘛,positive
昨天是我不对,negative
我不应该跟您急的,negative
妈妈没生气,neutral
不应该非让你写什么分,neutral
东西拆了吗,neutral
什么呀,neutral
还没看呢,neutral
妈 这不是当季特别款吗,positive
我上次在商场看到了很贵的,positive
是,positive
我在 APP上看便宜快一半了,positive
一咬牙买两件,positive
咱俩一人一件,positive
到时候一起去运动好不好,positive
 好,positive
这是你的,positive
我这件太花了吧,positive
不花这很衬肤色的,positive
我看你这件,positive
喜欢吗,positive
喜欢,positive
可时髦了 是吧,positive
英子,positive
晚上要不要一起去看个电影,positive
咱俩好久没有出去了,positive
您不是说高三学习紧 要最大化压缩娱乐时间吗,positive
这不是离正式开学还有几天,positive
先得给你抓空 放松,positive
是吧,positive
行不行,positive
我去看看票,positive
碟中谍6怎么样,positive
我想想 看碟中谍5的时候,positive
还是咱俩一起去看的首映,positive
那时候你刚上高中,positive
一下两年多了太快了,positive
这个时间还行,positive
要不看这场 怎么了,positive
不想去看,negative
没有 特别想去看,negative
Tom cruise不是您男神嘛,neutral
咱干脆晚上出去吃饭,positive
吃完饭以后看完电影回来时间正好完美,positive
好勒,negative
好,positive
买票了,positive
回来了 你还真有心 买了束花回来,positive
专门买的,positive
咱们一家三口好不容易团聚 庆祝庆祝,positive
现在不是提倡什么生活仪式感,positive
年轻的东西 我搞得不大懂,positive
本来让他包一束团圆的,positive
包了一包苹果,positive
早知道这样我到菜市场买去了,positive
没事儿,positive
苹果不还可以拿下来吃吗,positive
也不浪费,positive
饭马上就好了,positive
你先去换衣服,positive
好久没吃你做的饭了,positive
那一会多吃点,positive
苹果 哎 杨杨呢,neutral
杨杨回来了么,neutral
应该快回来了,neutral
等他回来我们就开饭,neutral
买了一包苹果,neutral
挺有意思的,neutral
后面还有好多特别精彩,negative
您看完了再走,negative
您不是最喜欢阿汤哥吗,negative
多浪费,negative
你要是告诉我你已经看过一遍了,negative
何必跑这来浪费时间,negative
您不是说让我出来放松,negative
我是让你放松,negative
可一个电影看两遍 闲的,negative
这有意义吗,negative
这怎么没意义了,negative
让你高兴不是意义吗,negative
我是要你高兴,negative
我也是为了你高兴,negative
我不用,negative
你的卷子叠的乱乱七八糟的,neutral
哪像个学生的样子,neutral
我跟你说磊儿刚来好多情况不了解,neutral
在家不怕有爸爸妈妈 在学校,neutral
你就要多带他,neutral
我带他,negative
妈 你没开玩笑,negative
我努力学习成绩也就他的一半,negative
应该他带我,negative
我不是说你成绩,neutral
我是说磊儿是县城来的,neutral
对北京不了解,neutral
我怕他在学校闹什么笑话,negative
你们同学到时候笑他,negative
你明白吗,negative
明白 好吧,neutral
这样我一会先去找他了解一下情况,neutral
俗话说知己知彼,neutral
